"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1119","100","100","7","7","301","149","443","12","0","1119"
"nlsr1","3115","200","200","20","20","851","461","1329","34","0","3115"
"nlsr2","2837","76","76","18","18","814","469","1332","34","0","2837"
"nlsr3","1911","73","73","12","12","526","306","889","20","0","1911"
"nlsr4","1853","24","24","12","12","561","309","887","24","0","1853"
"nlsr5","1845","24","24","13","13","547","308","888","28","0","1845"
"nlsr6","2749","50","50","22","22","785","448","1334","38","0","2749"
"nlsr7","1895","24","24","14","14","594","304","889","32","0","1895"
"nlsr8","1877","24","24","14","14","577","300","888","36","0","1877"
"nlsr9","1847","26","26","14","14","559","297","887","24","0","1847"
"nlsr10","1842","24","24","12","11","560","295","886","30","0","1842"
"sum","22890","645","645","158","157","6675","3646","10652","312","0","22890"
