"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",1,0,1,0,1,2,1,0,0,0,0
"nlsr1",216,223,240,251,277,283,278,293,290,305,310
"nlsr2",218,231,240,244,285,285,285,300,304,316,317
"nlsr3",107,115,125,129,143,149,154,152,151,164,170
"nlsr4",110,120,121,126,141,146,141,149,149,160,162
"nlsr5",110,118,123,124,136,145,144,151,148,157,160
"nlsr6",216,226,243,246,278,284,292,294,291,315,329
"nlsr7",115,119,125,125,140,151,144,154,155,159,158
"nlsr8",113,122,121,128,141,147,142,149,147,153,158
"nlsr9",116,116,127,126,141,140,153,150,148,158,159
"nlsr10",114,118,128,129,143,145,152,148,143,156,159
"sum",1436,1508,1594,1628,1826,1877,1886,1940,1926,2043,2082
"ave",130.545454545455,137.090909090909,144.909090909091,148,166,170.636363636364,171.454545454545,176.363636363636,175.090909090909,185.727272727273,189.272727272727
"r_sum",1435,1508,1593,1628,1825,1875,1885,1940,1926,2043,2082
"r_ave",143.5,150.8,159.3,162.8,182.5,187.5,188.5,194,192.6,204.3,208.2
"r_sum1-6",977,1033,1092,1120,1260,1292,1294,1339,1333,1417,1448
"r_ave1-6",162.833333333333,172.166666666667,182,186.666666666667,210,215.333333333333,215.666666666667,223.166666666667,222.166666666667,236.166666666667,241.333333333333
"r_sum7-10",458,475,501,508,565,583,591,601,593,626,634
"r_ave7-10",114.5,118.75,125.25,127,141.25,145.75,147.75,150.25,148.25,156.5,158.5
