"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",109,117,126,126,144,150,139,155,146,154,157
"nlsr1",339,360,372,375,411,432,429,450,429,462,477
"nlsr2",336,348,366,378,384,414,414,423,414,420,441
"nlsr3",222,226,238,236,268,274,272,284,270,288,290
"nlsr4",232,234,242,242,266,286,282,292,298,290,300
"nlsr5",212,232,246,248,280,280,278,284,280,296,300
"nlsr6",324,333,360,363,396,390,426,408,396,429,432
"nlsr7",214,230,224,238,262,284,278,284,284,292,296
"nlsr8",202,218,240,234,260,276,276,276,278,298,302
"nlsr9",200,214,234,234,260,264,280,288,278,288,304
"nlsr10",210,218,238,238,270,266,276,278,274,298,302
"sum",2600,2730,2886,2912,3201,3316,3350,3422,3347,3515,3601
"ave",236.363636363636,248.181818181818,262.363636363636,264.727272727273,291,301.454545454545,304.545454545455,311.090909090909,304.272727272727,319.545454545455,327.363636363636
"r_sum",2491,2613,2760,2786,3057,3166,3211,3267,3201,3361,3444
"r_ave",249.1,261.3,276,278.6,305.7,316.6,321.1,326.7,320.1,336.1,344.4
"r_sum1-6",1665,1733,1824,1842,2005,2076,2101,2141,2087,2185,2240
"r_ave1-6",277.5,288.833333333333,304,307,334.166666666667,346,350.166666666667,356.833333333333,347.833333333333,364.166666666667,373.333333333333
"r_sum7-10",826,880,936,944,1052,1090,1110,1126,1114,1176,1204
"r_ave7-10",206.5,220,234,236,263,272.5,277.5,281.5,278.5,294,301
