"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5","sync_data6","sync_data7","sync_data8","sync_data9","sync_data10"
"nlsr_pc",0,0,0,0,0,0,0,0,0,0,0
"nlsr1",208,218,228,233,258,262,270,276,274,296,304
"nlsr2",208,219,230,235,267,269,275,285,283,308,315
"nlsr3",104,112,117,120,133,136,142,147,145,157,166
"nlsr4",104,109,116,119,134,134,139,141,139,156,158
"nlsr5",104,109,116,119,131,136,138,143,142,153,157
"nlsr6",209,219,229,234,263,270,275,286,283,307,319
"nlsr7",110,115,122,124,137,136,140,143,144,156,158
"nlsr8",110,116,117,124,136,137,139,145,144,153,157
"nlsr9",110,114,121,121,135,138,141,145,143,155,161
"nlsr10",110,115,120,121,132,137,140,145,141,152,159
"sum",1377,1446,1516,1550,1726,1755,1799,1856,1838,1993,2054
"ave",125.181818181818,131.454545454545,137.818181818182,140.909090909091,156.909090909091,159.545454545455,163.545454545455,168.727272727273,167.090909090909,181.181818181818,186.727272727273
"r_sum",1377,1446,1516,1550,1726,1755,1799,1856,1838,1993,2054
"r_ave",137.7,144.6,151.6,155,172.6,175.5,179.9,185.6,183.8,199.3,205.4
"r_sum1-6",937,986,1036,1060,1186,1207,1239,1278,1266,1377,1419
"r_ave1-6",156.166666666667,164.333333333333,172.666666666667,176.666666666667,197.666666666667,201.166666666667,206.5,213,211,229.5,236.5
"r_sum7-10",440,460,480,490,540,548,560,578,572,616,635
"r_ave7-10",110,115,120,122.5,135,137,140,144.5,143,154,158.75
