"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",312,328,341,345,386,392,399,414,413,441,453
"nlsr1",942,987,1032,1051,1167,1179,1209,1247,1239,1332,1374
"nlsr2",942,987,1031,1054,1167,1178,1207,1248,1239,1331,1374
"nlsr3",627,658,687,699,778,786,806,833,826,885,916
"nlsr4",626,658,687,702,777,786,804,829,826,885,916
"nlsr5",624,656,688,702,778,785,804,832,826,888,916
"nlsr6",938,987,1032,1050,1167,1182,1206,1251,1239,1333,1374
"nlsr7",624,658,687,701,775,788,804,831,826,888,912
"nlsr8",628,658,688,698,778,788,803,829,825,887,912
"nlsr9",623,658,687,696,777,789,803,833,825,887,915
"nlsr10",624,658,688,696,778,788,804,834,826,889,914
"sum",7510,7893,8248,8394,9328,9441,9649,9981,9910,10646,10976
"ave",682.727272727273,717.545454545455,749.818181818182,763.090909090909,848,858.272727272727,877.181818181818,907.363636363636,900.909090909091,967.818181818182,997.818181818182
"r_sum",7198,7565,7907,8049,8942,9049,9250,9567,9497,10205,10523
"r_ave",719.8,756.5,790.7,804.9,894.2,904.9,925,956.7,949.7,1020.5,1052.3
"r_sum1-6",4699,4933,5157,5258,5834,5896,6036,6240,6195,6654,6870
"r_ave1-6",783.166666666667,822.166666666667,859.5,876.333333333333,972.333333333333,982.666666666667,1006,1040,1032.5,1109,1145
"r_sum7-10",2499,2632,2750,2791,3108,3153,3214,3327,3302,3551,3653
"r_ave7-10",624.75,658,687.5,697.75,777,788.25,803.5,831.75,825.5,887.75,913.25
