"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",104,109,113,115,129,130,133,138,138,147,151
"nlsr1",523,548,573,584,648,655,672,693,688,740,763
"nlsr2",523,549,575,586,657,661,677,702,697,752,774
"nlsr3",314,332,347,354,393,398,410,425,421,452,471
"nlsr4",313,329,346,352,394,396,407,417,415,450,464
"nlsr5",312,328,346,353,391,398,406,421,418,449,463
"nlsr6",521,549,574,585,653,663,677,703,697,751,775
"nlsr7",318,335,352,358,395,400,408,420,420,452,462
"nlsr8",320,336,347,356,396,401,407,421,420,449,461
"nlsr9",316,334,351,353,395,402,409,423,419,451,465
"nlsr10",318,335,350,353,392,401,408,423,417,448,463
"sum",3882,4084,4274,4349,4843,4905,5014,5186,5150,5541,5712
"ave",352.909090909091,371.272727272727,388.545454545455,395.363636363636,440.272727272727,445.909090909091,455.818181818182,471.454545454545,468.181818181818,503.727272727273,519.272727272727
"r_sum",3778,3975,4161,4234,4714,4775,4881,5048,5012,5394,5561
"r_ave",377.8,397.5,416.1,423.4,471.4,477.5,488.1,504.8,501.2,539.4,556.1
"r_sum1-6",2506,2635,2761,2814,3136,3171,3249,3361,3336,3594,3710
"r_ave1-6",417.666666666667,439.166666666667,460.166666666667,469,522.666666666667,528.5,541.5,560.166666666667,556,599,618.333333333333
"r_sum7-10",1272,1340,1400,1420,1578,1604,1632,1687,1676,1800,1851
"r_ave7-10",318,335,350,355,394.5,401,408,421.75,419,450,462.75
