"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5","sync_interest6","sync_interest7","sync_interest8","sync_interest9","sync_interest10"
"nlsr_pc",104,109,113,115,129,130,133,138,138,147,151
"nlsr1",315,330,345,351,390,393,402,417,414,444,459
"nlsr2",315,330,345,351,390,392,402,417,414,444,459
"nlsr3",210,220,230,234,260,262,268,278,276,295,305
"nlsr4",209,220,230,233,260,262,268,276,276,294,306
"nlsr5",208,219,230,234,260,262,268,278,276,296,306
"nlsr6",312,330,345,351,390,393,402,417,414,444,456
"nlsr7",208,220,230,234,258,264,268,277,276,296,304
"nlsr8",210,220,230,232,260,264,268,276,276,296,304
"nlsr9",206,220,230,232,260,264,268,278,276,296,304
"nlsr10",208,220,230,232,260,264,268,278,276,296,304
"sum",2505,2638,2758,2799,3117,3150,3215,3330,3312,3548,3658
"ave",227.727272727273,239.818181818182,250.727272727273,254.454545454545,283.363636363636,286.363636363636,292.272727272727,302.727272727273,301.090909090909,322.545454545455,332.545454545455
"r_sum",2401,2529,2645,2684,2988,3020,3082,3192,3174,3401,3507
"r_ave",240.1,252.9,264.5,268.4,298.8,302,308.2,319.2,317.4,340.1,350.7
"r_sum1-6",1569,1649,1725,1754,1950,1964,2010,2083,2070,2217,2291
"r_ave1-6",261.5,274.833333333333,287.5,292.333333333333,325,327.333333333333,335,347.166666666667,345,369.5,381.833333333333
"r_sum7-10",832,880,920,930,1038,1056,1072,1109,1104,1184,1216
"r_ave7-10",208,220,230,232.5,259.5,264,268,277.25,276,296,304
