"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",1,0,1,0,1,2,1,0,0,0,0
"nlsr1",1,1.03240740740741,1.11111111111111,1.16203703703704,1.28240740740741,1.31018518518519,1.28703703703704,1.35648148148148,1.34259259259259,1.41203703703704,1.43518518518519
"nlsr2",1,1.05963302752294,1.10091743119266,1.11926605504587,1.30733944954128,1.30733944954128,1.30733944954128,1.37614678899083,1.39449541284404,1.44954128440367,1.45412844036697
"nlsr3",1,1.07476635514019,1.16822429906542,1.20560747663551,1.33644859813084,1.39252336448598,1.4392523364486,1.42056074766355,1.41121495327103,1.53271028037383,1.58878504672897
"nlsr4",1,1.09090909090909,1.1,1.14545454545455,1.28181818181818,1.32727272727273,1.28181818181818,1.35454545454545,1.35454545454545,1.45454545454545,1.47272727272727
"nlsr5",1,1.07272727272727,1.11818181818182,1.12727272727273,1.23636363636364,1.31818181818182,1.30909090909091,1.37272727272727,1.34545454545455,1.42727272727273,1.45454545454545
"nlsr6",1,1.0462962962963,1.125,1.13888888888889,1.28703703703704,1.31481481481481,1.35185185185185,1.36111111111111,1.34722222222222,1.45833333333333,1.52314814814815
"nlsr7",1,1.03478260869565,1.08695652173913,1.08695652173913,1.21739130434783,1.31304347826087,1.25217391304348,1.33913043478261,1.34782608695652,1.38260869565217,1.37391304347826
"nlsr8",1,1.07964601769911,1.07079646017699,1.13274336283186,1.24778761061947,1.30088495575221,1.25663716814159,1.31858407079646,1.30088495575221,1.35398230088496,1.39823008849558
"nlsr9",1,1,1.0948275862069,1.08620689655172,1.21551724137931,1.20689655172414,1.31896551724138,1.29310344827586,1.27586206896552,1.36206896551724,1.37068965517241
"nlsr10",1,1.03508771929825,1.12280701754386,1.13157894736842,1.25438596491228,1.2719298245614,1.33333333333333,1.29824561403509,1.25438596491228,1.36842105263158,1.39473684210526
"sum",1,1.05013927576602,1.1100278551532,1.13370473537604,1.27158774373259,1.30710306406685,1.3133704735376,1.35097493036212,1.34122562674095,1.42270194986072,1.44986072423398
"ave",1,1.05013927576602,1.1100278551532,1.13370473537604,1.27158774373259,1.30710306406685,1.3133704735376,1.35097493036212,1.34122562674095,1.42270194986072,1.44986072423398
"r_sum",1,1.05087108013937,1.11010452961672,1.13449477351916,1.27177700348432,1.30662020905923,1.31358885017422,1.35191637630662,1.34216027874564,1.42369337979094,1.45087108013937
"r_ave",1,1.05087108013937,1.11010452961672,1.13449477351916,1.27177700348432,1.30662020905923,1.31358885017422,1.35191637630662,1.34216027874564,1.42369337979094,1.45087108013937
"r_sum1-6",1,1.05731832139202,1.11770726714432,1.14636642784033,1.28966223132037,1.32241555783009,1.32446264073695,1.37052200614125,1.36438075742068,1.4503582395087,1.48208802456499
"r_ave1-6",1,1.05731832139202,1.11770726714432,1.14636642784033,1.28966223132037,1.32241555783009,1.32446264073695,1.37052200614125,1.36438075742068,1.4503582395087,1.48208802456499
"r_sum7-10",1,1.03711790393013,1.0938864628821,1.10917030567686,1.23362445414847,1.27292576419214,1.29039301310044,1.31222707423581,1.29475982532751,1.36681222707424,1.38427947598253
"r_ave7-10",1,1.03711790393013,1.0938864628821,1.10917030567686,1.23362445414847,1.27292576419214,1.29039301310044,1.31222707423581,1.29475982532751,1.36681222707424,1.38427947598253
