"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",1,1.07339449541284,1.15596330275229,1.15596330275229,1.32110091743119,1.37614678899083,1.27522935779817,1.42201834862385,1.3394495412844,1.41284403669725,1.44036697247706
"nlsr1",1,1.06194690265487,1.09734513274336,1.10619469026549,1.21238938053097,1.27433628318584,1.26548672566372,1.32743362831858,1.26548672566372,1.36283185840708,1.4070796460177
"nlsr2",1,1.03571428571429,1.08928571428571,1.125,1.14285714285714,1.23214285714286,1.23214285714286,1.25892857142857,1.23214285714286,1.25,1.3125
"nlsr3",1,1.01801801801802,1.07207207207207,1.06306306306306,1.20720720720721,1.23423423423423,1.22522522522523,1.27927927927928,1.21621621621622,1.2972972972973,1.30630630630631
"nlsr4",1,1.00862068965517,1.04310344827586,1.04310344827586,1.14655172413793,1.23275862068966,1.21551724137931,1.25862068965517,1.28448275862069,1.25,1.29310344827586
"nlsr5",1,1.09433962264151,1.16037735849057,1.16981132075472,1.32075471698113,1.32075471698113,1.31132075471698,1.33962264150943,1.32075471698113,1.39622641509434,1.41509433962264
"nlsr6",1,1.02777777777778,1.11111111111111,1.12037037037037,1.22222222222222,1.2037037037037,1.31481481481481,1.25925925925926,1.22222222222222,1.32407407407407,1.33333333333333
"nlsr7",1,1.07476635514019,1.04672897196262,1.11214953271028,1.22429906542056,1.32710280373832,1.29906542056075,1.32710280373832,1.32710280373832,1.36448598130841,1.38317757009346
"nlsr8",1,1.07920792079208,1.18811881188119,1.15841584158416,1.28712871287129,1.36633663366337,1.36633663366337,1.36633663366337,1.37623762376238,1.47524752475248,1.4950495049505
"nlsr9",1,1.07,1.17,1.17,1.3,1.32,1.4,1.44,1.39,1.44,1.52
"nlsr10",1,1.03809523809524,1.13333333333333,1.13333333333333,1.28571428571429,1.26666666666667,1.31428571428571,1.32380952380952,1.3047619047619,1.41904761904762,1.43809523809524
"sum",1,1.05,1.11,1.12,1.23115384615385,1.27538461538462,1.28846153846154,1.31615384615385,1.28730769230769,1.35192307692308,1.385
"ave",1,1.05,1.11,1.12,1.23115384615385,1.27538461538462,1.28846153846154,1.31615384615385,1.28730769230769,1.35192307692308,1.385
"r_sum",1,1.04897631473304,1.10798875953432,1.1184263348053,1.22721798474508,1.27097551184263,1.28904054596548,1.31152147731835,1.28502609393818,1.34925732637495,1.38257727820153
"r_ave",1,1.04897631473304,1.10798875953432,1.1184263348053,1.22721798474508,1.27097551184263,1.28904054596548,1.31152147731835,1.28502609393818,1.34925732637495,1.38257727820153
"r_sum1-6",1,1.04084084084084,1.0954954954955,1.10630630630631,1.2042042042042,1.24684684684685,1.26186186186186,1.28588588588589,1.25345345345345,1.31231231231231,1.34534534534535
"r_ave1-6",1,1.04084084084084,1.0954954954955,1.10630630630631,1.2042042042042,1.24684684684685,1.26186186186186,1.28588588588589,1.25345345345345,1.31231231231231,1.34534534534535
"r_sum7-10",1,1.06537530266344,1.13317191283293,1.14285714285714,1.27360774818402,1.31961259079903,1.34382566585956,1.36319612590799,1.34866828087167,1.42372881355932,1.45762711864407
"r_ave7-10",1,1.06537530266344,1.13317191283293,1.14285714285714,1.27360774818402,1.31961259079903,1.34382566585956,1.36319612590799,1.34866828087167,1.42372881355932,1.45762711864407
