"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5","sync_interest6","sync_interest7","sync_interest8","sync_interest9","sync_interest10"
"nlsr_pc",1,1.04807692307692,1.08653846153846,1.10576923076923,1.24038461538462,1.25,1.27884615384615,1.32692307692308,1.32692307692308,1.41346153846154,1.45192307692308
"nlsr1",1,1.04761904761905,1.0952380952381,1.11428571428571,1.23809523809524,1.24761904761905,1.27619047619048,1.32380952380952,1.31428571428571,1.40952380952381,1.45714285714286
"nlsr2",1,1.04761904761905,1.0952380952381,1.11428571428571,1.23809523809524,1.24444444444444,1.27619047619048,1.32380952380952,1.31428571428571,1.40952380952381,1.45714285714286
"nlsr3",1,1.04761904761905,1.0952380952381,1.11428571428571,1.23809523809524,1.24761904761905,1.27619047619048,1.32380952380952,1.31428571428571,1.4047619047619,1.45238095238095
"nlsr4",1,1.05263157894737,1.10047846889952,1.11483253588517,1.24401913875598,1.25358851674641,1.2822966507177,1.32057416267943,1.32057416267943,1.4066985645933,1.46411483253589
"nlsr5",1,1.05288461538462,1.10576923076923,1.125,1.25,1.25961538461538,1.28846153846154,1.33653846153846,1.32692307692308,1.42307692307692,1.47115384615385
"nlsr6",1,1.05769230769231,1.10576923076923,1.125,1.25,1.25961538461538,1.28846153846154,1.33653846153846,1.32692307692308,1.42307692307692,1.46153846153846
"nlsr7",1,1.05769230769231,1.10576923076923,1.125,1.24038461538462,1.26923076923077,1.28846153846154,1.33173076923077,1.32692307692308,1.42307692307692,1.46153846153846
"nlsr8",1,1.04761904761905,1.0952380952381,1.1047619047619,1.23809523809524,1.25714285714286,1.27619047619048,1.31428571428571,1.31428571428571,1.40952380952381,1.44761904761905
"nlsr9",1,1.06796116504854,1.11650485436893,1.12621359223301,1.2621359223301,1.28155339805825,1.30097087378641,1.3495145631068,1.33980582524272,1.4368932038835,1.47572815533981
"nlsr10",1,1.05769230769231,1.10576923076923,1.11538461538462,1.25,1.26923076923077,1.28846153846154,1.33653846153846,1.32692307692308,1.42307692307692,1.46153846153846
"sum",1,1.05309381237525,1.10099800399202,1.11736526946108,1.24431137724551,1.25748502994012,1.28343313373253,1.32934131736527,1.32215568862275,1.41636726546906,1.46027944111776
"ave",1,1.05309381237525,1.10099800399202,1.11736526946108,1.24431137724551,1.25748502994012,1.28343313373253,1.32934131736527,1.32215568862275,1.41636726546906,1.46027944111776
"r_sum",1,1.05331112036651,1.10162432319867,1.11786755518534,1.24448146605581,1.25780924614744,1.28363182007497,1.32944606413994,1.3219491878384,1.41649312786339,1.46064139941691
"r_ave",1,1.05331112036651,1.10162432319867,1.11786755518534,1.24448146605581,1.25780924614744,1.28363182007497,1.32944606413994,1.3219491878384,1.41649312786339,1.46064139941691
"r_sum1-6",1,1.05098789037604,1.09942638623327,1.11790949649458,1.24282982791587,1.25175270873168,1.2810707456979,1.32759719566603,1.31931166347992,1.41300191204589,1.46016571064372
"r_ave1-6",1,1.05098789037604,1.09942638623327,1.11790949649458,1.24282982791587,1.25175270873168,1.2810707456979,1.32759719566603,1.31931166347992,1.41300191204589,1.46016571064372
"r_sum7-10",1,1.05769230769231,1.10576923076923,1.11778846153846,1.24759615384615,1.26923076923077,1.28846153846154,1.33293269230769,1.32692307692308,1.42307692307692,1.46153846153846
"r_ave7-10",1,1.05769230769231,1.10576923076923,1.11778846153846,1.24759615384615,1.26923076923077,1.28846153846154,1.33293269230769,1.32692307692308,1.42307692307692,1.46153846153846
