"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10876,1180,1120,348,310,2600,1436,2505,1377,1590,11,3882,2830335,1633667,1196668
"sum1",11278,1180,1120,347,309,2730,1508,2638,1446,1428,12,4084,2976077,1719621,1256456
"sum2",11712,1180,1120,350,308,2886,1594,2758,1516,1439,11,4274,3130363,1808335,1322028
"sum3",11841,1180,1120,345,307,2912,1628,2799,1550,1434,12,4349,3161665,1818740,1342925
"sum4",12830,1180,1120,351,309,3201,1826,3117,1726,1495,11,4843,3537412,2036337,1501075
"sum5",13046,1180,1120,342,306,3316,1877,3150,1755,1386,11,4905,3593902,2064404,1529498
"sum6",13199,1180,1120,343,306,3350,1886,3215,1799,1396,21,5014,3639626,2084043,1555583
"sum7",13494,1180,1120,342,304,3422,1940,3330,1856,1354,12,5186,3797740,2181271,1616469
"sum8",13385,1180,1120,351,311,3347,1926,3312,1838,1380,12,5150,3781303,2176272,1605031
"sum9",14050,1180,1120,344,307,3515,2043,3548,1993,1232,15,5541,4032579,2306396,1726183
"sum10",14348,1180,1120,344,309,3601,2082,3658,2054,1386,15,5712,4120440,2354663,1765777
