frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.Protocol,frame.len,_ws.col.Info
"1","1642228413.232334000",,,"ARP","42","Who has 172.17.0.10? Tell 172.17.0.7"
"2","1642228413.232345000",,,"ARP","42","Who has 172.17.0.4? Tell 172.17.0.7"
"3","1642228413.232365000",,,"ARP","42","Who has 172.17.0.7? Tell 172.17.0.4"
"4","1642228413.232373000",,,"ARP","42","172.17.0.7 is at 02:42:ac:11:00:07"
"5","1642228413.232390000",,,"ARP","42","172.17.0.10 is at 02:42:ac:11:00:0a"
"6","1642228413.232394000",,,"ARP","42","172.17.0.4 is at 02:42:ac:11:00:04"
"7","1642228418.863511000",,,"ICMPv6","70","Router Solicitation from d2:65:9a:41:52:bb"
"8","1642228424.328272000","172.17.0.4","172.17.0.7","UDP (NDN)","148","Interest /ndn/edu/usalp/%C1.Router/router6/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3"
"9","1642228424.329738000","172.17.0.7","172.17.0.4","UDP (NDN)","294","Data /ndn/edu/usalp/%C1.Router/router6/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3/35=%00%00%01~%5Cq%1E%89"
"10","1642228424.753095000","172.17.0.4","172.17.0.7","UDP (NDN)","84","Interest /ndn/edu/uaslp/home/coffee8"
"11","1642228424.753372000","172.17.0.7","172.17.0.10","UDP (NDN)","84","Interest /ndn/edu/uaslp/home/coffee8"
"12","1642228424.754879000","172.17.0.10","172.17.0.7","UDP (NDN)","234","Data /ndn/edu/uaslp/home/coffee8"
"13","1642228424.755166000","172.17.0.7","172.17.0.4","UDP (NDN)","234","Data /ndn/edu/uaslp/home/coffee8"
"14","1642228425.770884000","172.17.0.4","172.17.0.7","UDP (NDN)","85","Interest /ndn/edu/uaslp/move/moving24"
"15","1642228425.771130000","172.17.0.7","172.17.0.11","UDP (NDN)","85","Interest /ndn/edu/uaslp/move/moving24"
"16","1642228425.772197000","172.17.0.11","172.17.0.7","UDP (NDN)","236","Data /ndn/edu/uaslp/move/moving24"
"17","1642228425.772424000","172.17.0.7","172.17.0.4","UDP (NDN)","236","Data /ndn/edu/uaslp/move/moving24"
