"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1931","500","500","27","27","274","135","401","66","1","1931"
"nlsr1","4773","1000","1000","88","88","800","412","1212","172","1","4773"
"nlsr2","3369","303","303","89","89","775","415","1212","182","1","3369"
"nlsr3","2322","257","257","59","59","513","277","807","92","1","2322"
"nlsr4","1919","30","30","59","59","524","278","806","132","1","1919"
"nlsr5","1907","30","30","59","59","526","272","808","122","1","1907"
"nlsr6","2861","60","60","85","85","778","426","1207","159","1","2861"
"nlsr7","1914","30","30","58","58","530","277","808","122","1","1914"
"nlsr8","1884","30","30","58","58","519","271","807","110","1","1884"
"nlsr9","1884","32","32","55","55","514","279","804","112","1","1884"
"nlsr10","1915","28","28","56","55","534","277","804","132","1","1915"
"sum","26679","2300","2300","693","692","6287","3319","9676","1401","11","26679"
