"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",96,101,101,108,119,113,131,126,134,133,138
"nlsr1",301,322,322,353,367,353,405,399,423,417,427
"nlsr2",303,316,327,351,372,356,406,395,428,420,431
"nlsr3",211,219,216,238,244,237,278,272,289,283,290
"nlsr4",200,207,217,231,249,238,275,263,287,272,286
"nlsr5",206,211,213,233,243,237,265,263,287,278,284
"nlsr6",314,318,314,357,364,359,409,409,430,417,428
"nlsr7",198,204,209,232,247,236,274,264,280,271,281
"nlsr8",201,214,212,234,238,238,265,261,277,275,281
"nlsr9",202,204,201,237,241,236,266,270,279,270,280
"nlsr10",205,205,213,239,238,235,261,263,282,272,283
"sum",2437,2521,2545,2813,2922,2838,3235,3185,3396,3308,3409
"ave",221.545454545455,229.181818181818,231.363636363636,255.727272727273,265.636363636364,258,294.090909090909,289.545454545455,308.727272727273,300.727272727273,309.909090909091
"r_sum",2341,2420,2444,2705,2803,2725,3104,3059,3262,3175,3271
"r_ave",234.1,242,244.4,270.5,280.3,272.5,310.4,305.9,326.2,317.5,327.1
"r_sum1-6",1535,1593,1609,1763,1839,1780,2038,2001,2144,2087,2146
"r_ave1-6",255.833333333333,265.5,268.166666666667,293.833333333333,306.5,296.666666666667,339.666666666667,333.5,357.333333333333,347.833333333333,357.666666666667
"r_sum7-10",806,827,835,942,964,945,1066,1058,1118,1088,1125
"r_ave7-10",201.5,206.75,208.75,235.5,241,236.25,266.5,264.5,279.5,272,281.25
