"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",207,216,219,239,248,237,281,273,284,283,286
"nlsr1",626,647,655,716,727,697,813,797,839,828,838
"nlsr2",631,634,653,705,718,688,800,759,832,798,807
"nlsr3",411,428,425,475,469,450,514,521,536,540,558
"nlsr4",414,417,441,471,489,467,543,504,563,538,550
"nlsr5",419,411,419,462,475,458,528,512,547,527,547
"nlsr6",605,633,617,704,696,675,762,783,798,809,856
"nlsr7",396,397,426,456,487,450,545,501,562,534,557
"nlsr8",400,387,389,437,454,442,520,494,529,518,542
"nlsr9",385,400,377,449,447,442,494,528,532,525,568
"nlsr10",384,408,400,457,462,447,500,519,537,537,574
"sum",4878,4978,5021,5571,5672,5453,6300,6191,6559,6437,6683
"ave",443.454545454545,452.545454545455,456.454545454545,506.454545454545,515.636363636364,495.727272727273,572.727272727273,562.818181818182,596.272727272727,585.181818181818,607.545454545455
"r_sum",4671,4762,4802,5332,5424,5216,6019,5918,6275,6154,6397
"r_ave",467.1,476.2,480.2,533.2,542.4,521.6,601.9,591.8,627.5,615.4,639.7
"r_sum1-6",3106,3170,3210,3533,3574,3435,3960,3876,4115,4040,4156
"r_ave1-6",517.666666666667,528.333333333333,535,588.833333333333,595.666666666667,572.5,660,646,685.833333333333,673.333333333333,692.666666666667
"r_sum7-10",1565,1592,1592,1799,1850,1781,2059,2042,2160,2114,2241
"r_ave7-10",391.25,398,398,449.75,462.5,445.25,514.75,510.5,540,528.5,560.25
