"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","761","500","0","9","18","125","1","108","0","68","2","108","69217","69217","0"
"nlsr1","2221","500","500","55","28","363","232","327","216","206","2","543","394861","209535","185326"
"nlsr2","1478","30","244","45","36","348","232","327","216","216","2","543","394861","209535","185326"
"nlsr3","1019","31","256","27","27","236","116","218","108","110","2","326","232353","139690","92663"
"nlsr4","760","16","16","27","27","234","113","218","109","148","2","327","233225","139690","93535"
"nlsr5","760","14","14","27","27","232","120","217","109","122","2","326","232558","139062","93496"
"nlsr6","1256","31","31","45","36","336","231","327","219","152","1","546","397477","209535","187942"
"nlsr7","758","16","16","27","28","220","118","218","115","144","2","333","238322","139690","98632"
"nlsr8","758","14","14","28","28","226","118","218","112","106","2","330","235775","139690","96085"
"nlsr9","761","16","16","27","27","222","121","218","114","98","2","332","237536","139690","97846"
"nlsr10","758","15","15","27","27","222","120","218","114","100","2","332","237522","139690","97832"
"sum","11290","1183","1122","344","309","2764","1522","2614","1432","1470","21","4046","2903707","1675024","1228683"
