1632980636.633268 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297299?MustBeFresh&Nonce=fb87a2ff
1632980636.634093 IP 172.17.0.3 > 172.17.0.2, UDP, length 84, NDNLPv2, NACK (NoRoute): /ndn/edu/uaslp/home/coffee/ping/11230227194143297299?MustBeFresh&Nonce=fb87a2ff
1632980637.633048 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297300?MustBeFresh&Nonce=603ee490
1632980637.633499 IP 172.17.0.3 > 172.17.0.2, UDP, length 84, NDNLPv2, NACK (NoRoute): /ndn/edu/uaslp/home/coffee/ping/11230227194143297300?MustBeFresh&Nonce=603ee490
1632980638.634232 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297301?MustBeFresh&Nonce=e42bd3e9
1632980638.636095 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297301
1632980639.634195 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297302?MustBeFresh&Nonce=da1bbe8e
1632980639.636489 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297302
1632980640.635449 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297303?MustBeFresh&Nonce=cc8bf5b7
1632980640.638242 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297303
1632980641.639044 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297304?MustBeFresh&Nonce=7e184a41
1632980641.641728 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297304
1632980642.642127 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297305?MustBeFresh&Nonce=ee297417
1632980642.644062 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297305
1632980643.642689 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297306?MustBeFresh&Nonce=28106a9a
1632980643.644780 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297306
1632980644.643609 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297307?MustBeFresh&Nonce=618ed5cd
1632980644.645579 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297307
1632980645.644148 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297308?MustBeFresh&Nonce=cd433287
1632980645.646354 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297308
1632980646.644861 IP 172.17.0.2 > 172.17.0.3, UDP, length 71, INTEREST: /ndn/edu/uaslp/home/coffee/ping/11230227194143297309?MustBeFresh&Nonce=86ed4bc0
1632980646.646915 IP 172.17.0.3 > 172.17.0.2, UDP, length 110, DATA: /ndn/edu/uaslp/home/coffee/ping/11230227194143297309
