"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",28,151,139,117,98,153
"nlsr1",90,486,437,374,312,484
"nlsr2",91,484,433,393,308,499
"nlsr3",60,335,287,249,215,319
"nlsr4",61,316,287,252,202,320
"nlsr5",65,315,287,259,211,323
"nlsr6",100,487,423,372,306,478
"nlsr7",58,306,287,243,199,311
"nlsr8",67,310,285,246,206,311
"nlsr9",70,309,279,245,204,315
"nlsr10",71,306,277,240,197,312
"sum",761,3805,3421,2990,2458,3825
"ave",69.1818181818182,345.909090909091,311,271.818181818182,223.454545454545,347.727272727273
"r_sum",733,3654,3282,2873,2360,3672
"r_ave",73.3,365.4,328.2,287.3,236,367.2
