"name","sync_data_len0","sync_data_len1","sync_data_len2","sync_data_len3","sync_data_len4","sync_data_len5"
"nlsr_pc",4291,0,0,0,0,0
"nlsr1",78617,251828,227064,201398,166674,263432
"nlsr2",92473,259553,233888,205751,166674,274625
"nlsr3",54323,128504,120385,106769,83337,144720
"nlsr4",48373,131150,115244,102438,83337,134304
"nlsr5",41432,128505,116914,103295,83337,139479
"nlsr6",92441,256997,233039,205747,166674,275598
"nlsr7",43267,134528,120414,103324,86822,134308
"nlsr8",39734,134557,118619,102422,88504,138575
"nlsr9",52683,133659,117801,105857,87658,137791
"nlsr10",56971,134523,117819,102416,84189,139509
"sum",604605,1693804,1521187,1339417,1097206,1782341
"ave",54964.0909090909,153982.181818182,138289.727272727,121765.181818182,99746,162031
"r_sum",600314,1693804,1521187,1339417,1097206,1782341
"r_ave",60031.4,169380.4,152118.7,133941.7,109720.6,178234.1
