"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",43,145,132,116,95,152
"nlsr1",220,733,668,578,483,760
"nlsr2",221,742,676,583,483,776
"nlsr3",139,443,409,354,290,471
"nlsr4",136,446,399,347,288,461
"nlsr5",132,443,405,350,290,467
"nlsr6",242,736,675,583,483,774
"nlsr7",122,448,407,350,294,461
"nlsr8",126,448,405,349,296,466
"nlsr9",147,447,406,353,295,463
"nlsr10",160,448,406,349,289,464
"sum",1688,5479,4988,4312,3586,5715
"ave",153.454545454545,498.090909090909,453.454545454545,392,326,519.545454545455
"r_sum",1645,5334,4856,4196,3491,5563
"r_ave",164.5,533.4,485.6,419.6,349.1,556.3
