"","No.","Time","Source","Destination","Protocol","Length","Info"
"29",29,1634729202.16174,"172.17.0.12","172.17.0.3","UDP (NDN)",806,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%08/35=%00%00%01%7C%9Dt%11%EB/33=%00"
"59",59,1634729206.88453,"172.17.0.12","172.17.0.2","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%9Dt%20u/33=%00"
"88",88,1634729215.32782,"172.17.0.12","172.17.0.3","UDP (NDN)",824,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7C%9DtEV/33=%00"
"112",112,1634729219.04277,"172.17.0.12","172.17.0.2","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7C%9DtS%E0/33=%00"
"148",148,1634729228.67363,"172.17.0.12","172.17.0.3","UDP (NDN)",770,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%09/35=%00%00%01%7C%9Dty%7B/33=%00"
"172",172,1634729232.43606,"172.17.0.12","172.17.0.3","UDP (NDN)",857,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7C%9Dt%881/33=%00"
"204",204,1634729241.91733,"172.17.0.12","172.17.0.3","UDP (NDN)",823,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0A/35=%00%00%01%7C%9Dt%AD4/33=%00"
"230",230,1634729246.63703,"172.17.0.12","172.17.0.2","UDP (NDN)",938,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%9Dt%BB%C0/33=%00"
"231",231,1634729246.63706,"172.17.0.12","172.17.0.3","UDP (NDN)",938,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%9Dt%BB%C0/33=%00"
"265",265,1634729254.94443,"172.17.0.12","172.17.0.2","UDP (NDN)",850,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%09/35=%00%00%01%7C%9Dt%E0%1D/33=%00"
"285",285,1634729258.71598,"172.17.0.12","172.17.0.2","UDP (NDN)",972,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0A/35=%00%00%01%7C%9Dt%EE%D1/33=%00"
"315",315,1634729268.53169,"172.17.0.12","172.17.0.2","UDP (NDN)",815,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0A/35=%00%00%01%7C%9Du%150/33=%00"
"337",337,1634729272.23595,"172.17.0.12","172.17.0.3","UDP (NDN)",806,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0A/35=%00%00%01%7C%9Du%23%A4/33=%00"
"380",380,1634729281.6145,"172.17.0.12","172.17.0.3","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0B/35=%00%00%01%7C%9DuHD/33=%00"
"400",400,1634729285.3256,"172.17.0.12","172.17.0.3","UDP (NDN)",841,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0B/35=%00%00%01%7C%9DuV%C4/33=%00"
"438",438,1634729295.13821,"172.17.0.12","172.17.0.2","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0B/35=%00%00%01%7C%9Du%7D%1D/33=%00"
