"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","3070","500","0","20","38","314","160","298","149","112","1","447","320330","192082","128248"
"nlsr1","4209","273","273","56","28","489","316","450","298","164","1","748","546476","289980","256496"
"nlsr2","3582","29","227","57","30","438","319","450","310","178","1","760","556712","289980","266732"
"nlsr3","2327","15","123","28","28","312","162","300","152","96","1","452","324095","193320","130775"
"nlsr4","2401","16","150","28","28","318","158","296","152","118","1","448","321686","190808","130878"
"nlsr5","2088","13","13","28","28","298","165","298","156","124","1","454","326289","192082","134207"
"nlsr6","2089","16","16","28","28","314","159","298","153","102","1","451","323740","192082","131658"
"nlsr7","2081","15","15","28","29","308","166","296","159","94","2","455","327570","190808","136762"
"nlsr8","2105","16","16","30","29","300","166","296","159","122","1","455","327684","190808","136876"
"nlsr9","2085","13","13","29","28","302","162","298","157","126","1","455","327108","192082","135026"
"nlsr10","2085","16","16","30","29","296","166","298","161","106","1","459","330608","192082","138526"
"sum","28122","922","862","362","323","3689","2099","3578","2006","1342","12","5584","4032298","2306114","1726184"
