"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2781","500","500","54","54","539","273","760","100","1","2781","550408"
"nlsr1","3723","504","504","88","87","815","409","1149","166","1","3723","831327"
"nlsr2","3208","278","278","84","84","772","404","1143","164","1","3208","827613"
"nlsr3","2043","129","129","58","58","530","264","762","112","1","2043","551742"
"nlsr4","2108","153","153","55","55","542","264","761","124","1","2108","551075"
"nlsr5","1826","30","30","57","55","512","267","762","112","1","1826","551742"
"nlsr6","1828","30","30","55","55","508","268","762","119","1","1828","551742"
"nlsr7","1804","26","26","55","55","508","260","759","114","1","1804","549741"
"nlsr8","1843","34","34","54","54","519","259","762","126","1","1843","551742"
"nlsr9","1794","30","30","54","54","493","256","760","116","1","1794","550408"
"nlsr10","1814","30","30","54","54","500","260","761","124","1","1814","551075"
"sum","24772","1744","1744","668","665","6238","3184","9141","1377","11","24772","6618615"
