"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",178,324,273,251,207,308
"nlsr1",252,476,409,378,299,460
"nlsr2",267,469,404,370,308,453
"nlsr3",165,315,264,250,192,294
"nlsr4",164,314,264,247,202,305
"nlsr5",172,310,267,243,203,298
"nlsr6",177,308,268,247,201,292
"nlsr7",164,308,260,244,186,294
"nlsr8",162,311,259,246,199,299
"nlsr9",168,311,256,236,198,290
"nlsr10",170,307,260,254,199,286
"sum",2039,3753,3184,2966,2394,3579
"ave",185.363636363636,341.181818181818,289.454545454545,269.636363636364,217.636363636364,325.363636363636
"r_sum",1861,3429,2911,2715,2187,3271
"r_ave",186.1,342.9,291.1,271.5,218.7,327.1
