"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",87,160,131,125,104,152
"nlsr1",168,316,274,254,195,302
"nlsr2",175,319,277,250,199,314
"nlsr3",82,162,131,127,94,154
"nlsr4",81,158,138,124,100,156
"nlsr5",86,165,138,126,100,157
"nlsr6",86,159,136,126,101,149
"nlsr7",85,166,136,125,95,152
"nlsr8",81,166,136,127,104,158
"nlsr9",84,162,133,120,103,150
"nlsr10",86,166,136,132,106,148
"sum",1101,2099,1766,1636,1301,1992
"ave",100.090909090909,190.818181818182,160.545454545455,148.727272727273,118.272727272727,181.090909090909
"r_sum",1014,1939,1635,1511,1197,1840
"r_ave",101.4,193.9,163.5,151.1,119.7,184
