"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",483,894,760,701,549,845
"nlsr1",720,1347,1149,1059,834,1273
"nlsr2",725,1347,1143,1058,834,1275
"nlsr3",477,898,762,706,556,850
"nlsr4",479,893,761,706,556,849
"nlsr5",482,894,762,707,556,850
"nlsr6",480,894,762,706,553,845
"nlsr7",479,891,759,706,555,846
"nlsr8",479,891,762,702,556,846
"nlsr9",481,893,760,702,556,846
"nlsr10",481,894,761,704,552,845
"sum",5766,10736,9141,8457,6657,10170
"ave",524.181818181818,976,831,768.818181818182,605.181818181818,924.545454545455
"r_sum",5283,9842,8381,7756,6108,9325
"r_ave",528.3,984.2,838.1,775.6,610.8,932.5
