"name","sync_data_len0","sync_data_len1","sync_data_len2","sync_data_len3","sync_data_len4","sync_data_len5"
"nlsr_pc",68310,128248,110259,100582,79588,121598
"nlsr1",136620,256496,220518,201164,159176,243196
"nlsr2",136620,266732,226474,208819,159176,254401
"nlsr3",68310,130775,112840,104025,79588,126832
"nlsr4",68310,130878,114575,103131,79588,125843
"nlsr5",68310,134207,113632,103996,79588,127628
"nlsr6",68310,131658,113768,104899,79588,126760
"nlsr7",68310,136762,113671,102239,81293,126831
"nlsr8",68310,136876,117220,103998,82147,125831
"nlsr9",68310,135026,115324,103168,82146,127611
"nlsr10",68310,138526,115531,105726,83022,126783
"sum",888030,1726184,1473812,1341747,1044900,1633314
"ave",80730,156925.818181818,133982.909090909,121977,94990.9090909091,148483.090909091
"r_sum",819720,1597936,1363553,1241165,965312,1511716
"r_ave",81972,159793.6,136355.3,124116.5,96531.2,151171.6
