"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5"
"nlsr_pc",80,149,127,117,92,141
"nlsr1",160,298,254,234,184,282
"nlsr2",160,310,261,243,184,295
"nlsr3",80,152,130,121,92,147
"nlsr4",80,152,132,120,92,146
"nlsr5",80,156,131,121,92,148
"nlsr6",80,153,131,122,92,147
"nlsr7",80,159,131,119,94,147
"nlsr8",80,159,135,121,95,146
"nlsr9",80,157,133,120,95,148
"nlsr10",80,161,133,123,96,147
"sum",1040,2006,1698,1561,1208,1894
"ave",94.5454545454545,182.363636363636,154.363636363636,141.909090909091,109.818181818182,172.181818181818
"r_sum",960,1857,1571,1444,1116,1753
"r_ave",96,185.7,157.1,144.4,111.6,175.3
