"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5"
"nlsr_pc",162,298,252,234,182,282
"nlsr1",240,450,384,354,279,426
"nlsr2",243,450,381,353,279,426
"nlsr3",159,300,254,236,186,284
"nlsr4",160,296,254,236,186,283
"nlsr5",162,298,254,236,186,284
"nlsr6",160,298,254,235,184,281
"nlsr7",159,296,252,236,186,282
"nlsr8",160,296,254,234,186,282
"nlsr9",160,298,253,234,186,282
"nlsr10",160,298,254,234,184,282
"sum",1925,3578,3046,2822,2224,3394
"ave",175,325.272727272727,276.909090909091,256.545454545455,202.181818181818,308.545454545455
"r_sum",1763,3280,2794,2588,2042,3112
"r_ave",176.3,328,279.4,258.8,204.2,311.2
