"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",342057,640660,550408,501488,395605,607001
"nlsr1",510279,964704,831327,756900,600042,913896
"nlsr2",513395,964704,827613,756471,600042,915174
"nlsr3",338280,643136,551742,504600,400028,610116
"nlsr4",339560,639987,551075,504600,400028,609477
"nlsr5",341417,640660,551742,505442,400028,610116
"nlsr6",340179,640660,551742,505074,398081,607001
"nlsr7",339560,638749,549741,504600,399379,607640
"nlsr8",339560,638749,551742,502124,400028,607640
"nlsr9",340819,640023,550408,502124,400028,607640
"nlsr10",340819,640660,551075,503878,397552,607001
"sum",4085925,7692692,6618615,6047301,4790841,7302702
"ave",371447.727272727,699335.636363636,601692.272727273,549754.636363636,435531,663882
"r_sum",3743868,7052032,6068207,5545813,4395236,6695701
"r_ave",374386.8,705203.2,606820.7,554581.3,439523.6,669570.1
