"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",171338,320330,274537,251062,197478,303820
"nlsr1",289305,546476,470793,428741,339815,518386
"nlsr2",291162,556712,474892,435760,339815,529591
"nlsr3",169460,324095,278452,255743,200014,310292
"nlsr4",170100,321686,280187,254849,200014,308664
"nlsr5",171338,326289,279244,255714,200014,311088
"nlsr6",170100,323740,279380,255981,198716,308343
"nlsr7",169460,327570,277949,253957,201719,309053
"nlsr8",170100,327684,282832,254478,202573,308053
"nlsr9",170100,327108,280269,253648,202572,309833
"nlsr10",170100,330608,281143,256212,202210,309005
"sum",2112563,4032298,3459678,3156145,2484940,3826128
"ave",192051.181818182,366572.545454545,314516.181818182,286922.272727273,225903.636363636,347829.818181818
"r_sum",1941225,3711968,3185141,2905083,2287462,3522308
"r_ave",194122.5,371196.8,318514.1,290508.3,228746.2,352230.8
