"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",242,447,379,351,274,423
"nlsr1",400,748,638,588,463,708
"nlsr2",403,760,642,596,463,721
"nlsr3",239,452,384,357,278,431
"nlsr4",240,448,386,356,278,429
"nlsr5",242,454,385,357,278,432
"nlsr6",240,451,385,357,276,428
"nlsr7",239,455,383,355,280,429
"nlsr8",240,455,389,355,281,428
"nlsr9",240,455,386,354,281,430
"nlsr10",240,459,387,357,280,429
"sum",2965,5584,4744,4383,3432,5288
"ave",269.545454545455,507.636363636364,431.272727272727,398.454545454545,312,480.727272727273
"r_sum",2723,5137,4365,4032,3158,4865
"r_ave",272.3,513.7,436.5,403.2,315.8,486.5
