"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2145","500","500","27","27","345","170","505","70","1","2145","427625"
"nlsr1","5648","1000","1000","90","90","1021","594","1634","218","1","5648","1397887"
"nlsr2","4631","560","560","90","90","979","569","1584","198","1","4631","1349107"
"nlsr3","2658","0","0","60","60","689","510","1198","140","1","2658","1039410"
"nlsr4","3541","64","64","90","90","985","530","1528","188","2","3541","1293044"
"nlsr5","3680","56","56","89","89","1001","600","1602","186","1","3680","1366896"
"nlsr6","4106","0","0","87","87","1030","851","1873","176","2","4106","1634783"
"nlsr7","2362","28","28","58","58","669","352","1018","150","1","2362","861374"
"nlsr8","2313","36","36","58","58","653","351","1017","102","2","2313","861254"
"nlsr9","2311","30","30","58","58","656","354","1014","110","1","2311","858533"
"nlsr10","3964","26","26","86","86","1020","762","1769","188","1","3964","1533115"
"nlsr11","2669","0","0","55","55","679","545","1232","102","1","2669","1074300"
"nlsr12","2336","28","28","55","55","660","344","1013","152","1","2336","857542"
"nlsr13","2280","36","36","58","58","634","345","1016","96","1","2280","860276"
"nlsr14","2282","30","30","56","56","628","344","1014","123","1","2282","858306"
"nlsr15","3771","26","26","84","84","993","692","1697","168","1","3771","1461799"
"sum","50697","2420","2420","1101","1101","12642","7913","20714","2367","19","50697","17735251"
