"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2145","500","0","9","18","173","0","168","0","70","1","168","130109","130109","0"
"nlsr1","5648","500","500","60","30","519","356","510","364","218","1","874","755466","394920","360546"
"nlsr2","4631","60","500","50","40","471","372","510","370","198","1","880","761453","394920","366533"
"nlsr3","2658","0","0","30","30","344","220","340","223","140","1","563","483996","263280","220716"
"nlsr4","3541","32","32","50","40","495","354","510","347","188","2","857","738700","394920","343780"
"nlsr5","3680","28","28","49","40","510","366","508","354","186","1","862","744107","393407","350700"
"nlsr6","4106","0","0","48","39","516","429","510","429","176","2","939","819899","394920","424979"
"nlsr7","2362","14","14","29","29","338","179","340","172","150","1","512","433678","263280","170398"
"nlsr8","2313","18","18","29","29","328","184","338","178","102","2","516","438062","261746","176316"
"nlsr9","2311","15","15","29","29","326","183","338","178","110","1","516","438018","261746","176272"
"nlsr10","3964","13","13","39","47","513","390","507","387","188","1","894","775879","392619","383260"
"nlsr11","2669","0","0","27","28","342","236","338","240","102","1","578","499509","261746","237763"
"nlsr12","2336","14","14","27","28","332","183","338","177","152","1","515","437030","261746","175284"
"nlsr13","2280","18","18","30","28","320","185","338","183","96","1","521","443063","261750","181313"
"nlsr14","2282","15","15","28","28","320","181","338","179","123","1","517","439008","261746","177262"
"nlsr15","3771","13","13","37","47","495","398","507","397","168","1","904","785877","392619","393258"
"sum","50697","1240","1180","571","530","6342","4216","6438","4178","2367","19","10616","9123854","4985474","4138380"
