frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.Protocol,frame.len,_ws.col.Info
"1","1634262197.503261000","172.17.0.6","172.17.0.11","UDP (NDN)","149","Interest /ndn/edu/usalp/%C1.Router/router10/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router5"
"2","1634262197.505064000","172.17.0.11","172.17.0.6","UDP (NDN)","296","Data /ndn/edu/usalp/%C1.Router/router10/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router5/35=%00%00%01%7C%81%9E%25%00"
"3","1634262201.567376000","172.17.0.7","172.17.0.11","UDP (NDN)","149","Interest /ndn/edu/usalp/%C1.Router/router10/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router6"
"4","1634262201.568157000","172.17.0.11","172.17.0.7","UDP (NDN)","296","Data /ndn/edu/usalp/%C1.Router/router10/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router6/35=%00%00%01%7C%81%9E4%DF"
"5","1634262202.904595000",,,"ARP","42","Who has 172.17.0.11? Tell 172.17.0.6"
"6","1634262202.904708000",,,"ARP","42","172.17.0.11 is at 02:42:ac:11:00:0b"
"7","1634262214.213687000","172.17.0.6","172.17.0.11","UDP (NDN)","82","Interest /ndn/edu/uaslp/work/task6"
"8","1634262214.217640000","172.17.0.11","172.17.0.16","UDP (NDN)","82","Interest /ndn/edu/uaslp/work/task6"
"9","1634262214.222074000","172.17.0.16","172.17.0.11","UDP (NDN)","229","Data /ndn/edu/uaslp/work/task6"
"10","1634262214.224010000","172.17.0.11","172.17.0.6","UDP (NDN)","229","Data /ndn/edu/uaslp/work/task6"
