"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",0,0,1,1,3,2
"nlsr1",188,356,303,294,205,380
"nlsr2",179,372,313,311,196,393
"nlsr3",103,220,170,167,119,220
"nlsr4",175,354,289,292,197,373
"nlsr5",178,366,305,310,191,390
"nlsr6",210,429,344,361,224,427
"nlsr7",90,179,148,152,95,194
"nlsr8",87,184,154,148,92,189
"nlsr9",87,183,153,146,90,189
"nlsr10",199,390,323,326,219,417
"nlsr11",112,236,184,180,122,237
"nlsr12",82,183,147,147,95,186
"nlsr13",88,185,147,142,92,186
"nlsr14",82,181,149,145,96,179
"nlsr15",196,398,335,331,218,422
"sum",2056,4216,3465,3453,2254,4384
"ave",128.5,263.5,216.5625,215.8125,140.875,274
"r_sum",2056,4216,3464,3452,2251,4382
"r_ave",137.066666666667,281.066666666667,230.933333333333,230.133333333333,150.066666666667,292.133333333333
