"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5"
"nlsr_pc",79,168,138,136,88,176
"nlsr1",243,510,420,414,267,531
"nlsr2",243,510,420,414,267,531
"nlsr3",162,340,280,276,178,354
"nlsr4",243,510,420,414,267,531
"nlsr5",243,508,420,414,267,531
"nlsr6",243,510,420,414,267,531
"nlsr7",162,340,278,276,178,354
"nlsr8",162,338,276,276,176,354
"nlsr9",162,338,278,276,176,354
"nlsr10",243,507,417,414,264,531
"nlsr11",162,338,278,276,176,354
"nlsr12",162,338,278,274,176,354
"nlsr13",162,338,278,275,176,354
"nlsr14",162,338,278,276,176,354
"nlsr15",243,507,417,411,264,531
"sum",3076,6438,5296,5236,3363,6725
"ave",192.25,402.375,331,327.25,210.1875,420.3125
"r_sum",2997,6270,5158,5100,3275,6549
"r_ave",199.8,418,343.866666666667,340,218.333333333333,436.6
