"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",61563,130109,107006,105894,67788,142968
"nlsr1",366822,755466,626242,617748,395340,814696
"nlsr2",358834,761453,626142,621848,389453,838167
"nlsr3",229920,483996,399578,394096,260527,528963
"nlsr4",348879,738700,603366,601911,379529,807528
"nlsr5",353823,744107,617249,615865,385443,817697
"nlsr6",396735,819899,667839,674657,429936,881440
"nlsr7",205994,433678,354444,355140,224042,476688
"nlsr8",205994,438062,356776,355190,222508,476664
"nlsr9",205994,438018,356409,354211,222508,473562
"nlsr10",365867,775879,633730,636782,392998,849729
"nlsr11",246895,499509,420909,412951,270008,553549
"nlsr12",205994,437030,357420,353636,223501,476686
"nlsr13",205994,443063,358314,353409,224508,476676
"nlsr14",205994,439008,359404,355205,224497,473564
"nlsr15",374813,785877,650618,637499,408769,853711
"sum",4340115,9123854,7495446,7446042,4721355,9942288
"ave",271257.1875,570240.875,468465.375,465377.625,295084.6875,621393
"r_sum",4278552,8993745,7388440,7340148,4653567,9799320
"r_ave",285236.8,599583,492562.666666667,489343.2,310237.8,653288
