"","No.","Time","Source","Destination","Protocol","Length","Info"
"63",63,1634274109.45227,"172.17.0.2","172.17.0.4","UDP (NDN)",822,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7C%82S%E8%06/33=%00"
"64",64,1634274109.45316,"172.17.0.2","172.17.0.9","UDP (NDN)",822,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%08/35=%00%00%01%7C%82S%E8%06/33=%00"
"104",104,1634274114.12545,"172.17.0.2","172.17.0.3","UDP (NDN)",885,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%82S%F6b/33=%00"
"105",105,1634274114.1256,"172.17.0.2","172.17.0.9","UDP (NDN)",885,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%82S%F6b/33=%00"
"106",106,1634274114.12731,"172.17.0.2","172.17.0.4","UDP (NDN)",885,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%82S%F6b/33=%00"
"107",107,1634274114.12753,"172.17.0.2","172.17.0.3","UDP (NDN)",885,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%82S%F6b/33=%00"
"108",108,1634274114.12765,"172.17.0.2","172.17.0.9","UDP (NDN)",885,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%08/35=%00%00%01%7C%82S%F6b/33=%00"
"161",161,1634274122.66235,"172.17.0.2","172.17.0.4","UDP (NDN)",805,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%08/35=%00%00%01%7C%82T%1B%A3/33=%00"
"164",164,1634274122.67243,"172.17.0.2","172.17.0.9","UDP (NDN)",805,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%08/35=%00%00%01%7C%82T%1B%A3/33=%00"
"195",195,1634274126.41437,"172.17.0.2","172.17.0.3","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7C%82T%2AI/33=%00"
"196",196,1634274126.41442,"172.17.0.2","172.17.0.9","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7C%82T%2AI/33=%00"
"256",256,1634274136.02586,"172.17.0.2","172.17.0.4","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7C%82TO%D5/33=%00"
"257",257,1634274136.02602,"172.17.0.2","172.17.0.9","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7C%82TO%D5/33=%00"
"287",287,1634274139.74662,"172.17.0.2","172.17.0.3","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%82T%5E_/33=%00"
"289",289,1634274139.75204,"172.17.0.2","172.17.0.9","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%82T%5E_/33=%00"
