"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",240,597,406,384,351,455
"nlsr1",726,1798,1222,1166,1059,1373
"nlsr2",726,1791,1224,1167,1058,1378
"nlsr3",726,1793,1224,1167,1058,1374
"nlsr4",484,1192,815,777,706,921
"nlsr5",484,1194,816,777,706,915
"nlsr6",480,1194,813,771,706,913
"nlsr7",480,1194,816,772,706,911
"sum",4346,10753,7336,6981,6350,8240
"ave",543.25,1344.125,917,872.625,793.75,1030
"r_sum",4106,10156,6930,6597,5999,7785
"r_ave",586.571428571429,1450.85714285714,990,942.428571428571,857,1112.14285714286
