"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5"
"nlsr_pc",0,60,24,24,24,24
"nlsr1",160,399,272,258,234,304
"nlsr2",160,406,274,265,234,318
"nlsr3",160,414,280,265,234,316
"nlsr4",80,203,140,133,117,163
"nlsr5",80,206,141,132,120,155
"nlsr6",80,212,141,129,122,159
"nlsr7",80,212,144,133,122,157
"sum",800,2112,1416,1339,1207,1596
"ave",100,264,177,167.375,150.875,199.5
"r_sum",800,2052,1392,1315,1183,1572
"r_ave",114.285714285714,293.142857142857,198.857142857143,187.857142857143,169,224.571428571429
