"name","sync_interest_len0","sync_interest_len1","sync_interest_len2","sync_interest_len3","sync_interest_len4","sync_interest_len5"
"nlsr_pc",43861,108432,74674,69615,64438,82434
"nlsr1",133170,328500,225672,212022,194901,250488
"nlsr2",133170,326913,225672,212022,194901,250488
"nlsr3",133170,326913,225672,212022,194901,250488
"nlsr4",88780,217404,150448,141348,129934,166986
"nlsr5",88780,217942,150448,141348,129934,166992
"nlsr6",87722,217930,149348,139230,129934,165926
"nlsr7",87722,217942,150448,139230,129934,165401
"sum",796375,1961976,1352382,1266837,1168877,1499203
"ave",99546.875,245247,169047.75,158354.625,146109.625,187400.375
"r_sum",752514,1853544,1277708,1197222,1104439,1416769
"r_ave",107502,264792,182529.714285714,171031.714285714,157777,202395.571428571
