"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",149014,369951,253951,236520,218638,281189
"nlsr1",450216,1113141,764053,717652,659088,847807
"nlsr2",450216,1109217,765153,718182,658544,851370
"nlsr3",450216,1110735,765153,718182,658544,848340
"nlsr4",300144,738402,509552,478258,439392,569343
"nlsr5",300144,739478,510102,478258,439392,565027
"nlsr6",298028,739901,508452,475082,439392,563961
"nlsr7",298028,739478,510102,475612,439392,562907
"sum",2696006,6660303,4586518,4297746,3952382,5089944
"ave",337000.75,832537.875,573314.75,537218.25,494047.75,636243
"r_sum",2546992,6290352,4332567,4061226,3733744,4808755
"r_ave",363856,898621.714285714,618938.142857143,580175.142857143,533392,686965
